科学家,词语,频次
卡塔林·考里科,大学,103
卡塔林·考里科,现在,103
卡塔林·考里科,东西,102
卡塔林·考里科,事情,100
卡塔林·考里科,一切,99
卡塔林·考里科,科学,97
卡塔林·考里科,如何,97
卡塔林·考里科,一次,96
卡塔林·考里科,那些,95
卡塔林·考里科,这是,95
卡塔林·考里科,正在,94
卡塔林·考里科,它们,93
卡塔林·考里科,美国,92
卡塔林·考里科,任何,90
卡塔林·考里科,科学家,90
卡塔林·考里科,告诉,89
卡塔林·考里科,那里,88
卡塔林·考里科,一直,87
卡塔林·考里科,一名,86
卡塔林·考里科,孩子,86
卡塔林·考里科,也许,83
卡塔林·考里科,这种,83
卡塔林·考里科,重要,82
卡塔林·考里科,喜欢,82
卡塔林·考里科,每个,81
卡塔林·考里科,宾大,81
卡塔林·考里科,看到,78
卡塔林·考里科,发生,77
卡塔林·考里科,这里,75
卡塔林·考里科,地方,74
卡塔林·考里科,病毒,74
卡塔林·考里科,母亲,73
卡塔林·考里科,埃利奥特,73
卡塔林·考里科,一点,72
卡塔林·考里科,人们,71
卡塔林·考里科,不会,71
卡塔林·考里科,学生,69
卡塔林·考里科,一位,68
卡塔林·考里科,世界,67
卡塔林·考里科,很多,67
卡塔林·考里科,我会,67
卡塔林·考里科,戴维,67
卡塔林·考里科,当时,66
卡塔林·考里科,一天,63
卡塔林·考里科,不同,63
卡塔林·考里科,参加,62
卡塔林·考里科,还是,61
卡塔林·考里科,生物,60
卡塔林·考里科,总是,60
卡塔林·考里科,使用,60
卡塔林·考里科,蛋白质,59
卡塔林·考里科,德鲁,58
卡塔林·考里科,情况,58
卡塔林·考里科,赛艇,57
卡塔林·考里科,找到,57
卡塔林·考里科,公司,56
卡塔林·考里科,只是,56
卡塔林·考里科,感觉,56
卡塔林·考里科,如此,56
卡塔林·考里科,非常,56
卡塔林·考里科,来说,55
卡塔林·考里科,修饰,54
卡塔林·考里科,方式,54
卡塔林·考里科,DNA,54
卡塔林·考里科,认为,54
卡塔林·考里科,发表,54
卡塔林·考里科,进行,53
卡塔林·考里科,似乎,53
卡塔林·考里科,努力,52
卡塔林·考里科,了解,52
卡塔林·考里科,当然,52
卡塔林·考里科,多尔,51
卡塔林·考里科,尼克,51
卡塔林·考里科,学校,51
卡塔林·考里科,那么,51
吴健雄,吴健雄,2001
吴健雄,实验,462
吴健雄,袁家骝,454
吴健雄,中国,452
吴健雄,美国,427
吴健雄,科学,376
吴健雄,科学家,335
吴健雄,教授,289
吴健雄,就是,279
吴健雄,大学,213
吴健雄,物理,202
吴健雄,人们,202
吴健雄,这样,196
吴健雄,WU,186
吴健雄,XIONG,186
